scenario,mode,N,b,c,w,mu,k,runs,birth_baseline,rescue_probability,rescue_se,censored_fraction,allc_at_rescue,allc_at_rescue_se,allc_g10,allc_g10_se,allc_g20,allc_g20_se,allc_g30,allc_g30_se,allc_g40,allc_g40_se,allc_g50,allc_g50_se,allc_g60,allc_g60_se,allc_g70,allc_g70_se,allc_g80,allc_g80_se,allc_g90,allc_g90_se,allc_g100,allc_g100_se
robustness,responsive,50,3,1,0.5,1,0,300,3,0.96,0.0113137085,0,0.8975,0.01501539731,0.9059027778,0.01498642972,0.9097222222,0.01530847232,0.9158333333,0.01542366903,0.9213194444,0.01509355047,0.9233333333,0.01510160452,0.9295138889,0.01476487384,0.9290972222,0.01476578881,0.9336805556,0.01465010787,0.9340277778,0.0146527623,0.9340277778,0.0146527623
robustness,responsive,50,5,1,0.5,1,0,300,3,0.9866666667,0.006622073078,0,0.9081756757,0.01341598741,0.9283108108,0.01296669127,0.9408783784,0.01251044988,0.9450675676,0.01216205973,0.9483108108,0.01204014671,0.9516891892,0.01186538646,0.9523648649,0.01190161637,0.9543243243,0.01175372616,0.955472973,0.01165817832,0.9573648649,0.01153930555,0.9567567568,0.0117650336
robustness,responsive,50,7,1,0.5,1,0,300,3,0.99,0.005744562647,0,0.9365656566,0.01149096319,0.9475420875,0.0111561531,0.9552188552,0.01089205863,0.955959596,0.01093996198,0.9626262626,0.01032237642,0.9672053872,0.01004595211,0.9672053872,0.01004187501,0.9674074074,0.0101250843,0.9683501684,0.01004046526,0.9696969697,0.009963574988,0.9696969697,0.009963574988
robustness,responsive,50,3,1,1,1,0,300,3,0.9633333333,0.01085084055,0,0.8822145329,0.01656550277,0.9079584775,0.01545466867,0.914532872,0.01532666924,0.9170242215,0.01547042081,0.9228373702,0.01521586053,0.9271280277,0.01502117733,0.9296193772,0.01495863599,0.9303806228,0.01495285191,0.9307958478,0.01495536618,0.9307958478,0.01495536618,0.9307958478,0.01495536618
robustness,responsive,50,5,1,1,1,0,300,3,0.9866666667,0.006622073078,0,0.9208783784,0.01282219736,0.9375675676,0.01229273825,0.9479054054,0.01190332746,0.9522297297,0.011691625,0.9562162162,0.01155389399,0.9576351351,0.01159494683,0.9582432432,0.01153252609,0.9594594595,0.01148278079,0.9594594595,0.01148278079,0.9594594595,0.01148278079,0.9594594595,0.01148278079
robustness,responsive,50,7,1,1,1,0,300,3,0.9933333333,0.004698305447,0,0.9281208054,0.01126084502,0.9497986577,0.009677527111,0.959261745,0.00945838391,0.9729530201,0.008447627399,0.9761744966,0.008298135228,0.9773825503,0.008428316659,0.9789261745,0.008196494552,0.9798657718,0.008150280622,0.9798657718,0.008150280622,0.9798657718,0.008150280622,0.9798657718,0.008150280622
robustness,responsive,100,3,1,0.25,1,0,300,3,0.9966666667,0.00332777314,0,0.917993311,0.01279830078,0.9216053512,0.01280296227,0.9298327759,0.01293138119,0.935819398,0.01274693215,0.9385953177,0.0129091954,0.9394983278,0.01303336176,0.9445819398,0.01263752777,0.9452508361,0.01258200467,0.9465217391,0.01251462416,0.9467558528,0.01251801834,0.9493311037,0.01231369032
robustness,responsive,100,5,1,0.25,1,0,300,3,1,0,0,0.9502333333,0.008778256599,0.9580666667,0.007563981028,0.9662666667,0.007121511579,0.9710333333,0.006811181432,0.9743666667,0.006613707992,0.9773,0.00654264205,0.9795333333,0.006353515926,0.9834666667,0.005829225819,0.9857,0.005473920127,0.9860666667,0.005483489627,0.9896,0.005034498599
robustness,responsive,100,7,1,0.25,1,0,300,3,1,0,0,0.9547333333,0.007879300363,0.9637333333,0.007803337098,0.9686,0.007389326117,0.9771666667,0.006367149935,0.9831,0.005528699824,0.9856666667,0.005630153199,0.9874333333,0.005266079233,0.9876333333,0.005290469826,0.99,0.004998996555,0.9908,0.005034117712,0.9912666667,0.004917965458
robustness,responsive,100,3,1,0.5,1,0,300,3,0.9933333333,0.004698305447,0,0.9241275168,0.01223532209,0.9348993289,0.01183092145,0.9413087248,0.0115802213,0.9452684564,0.01121604668,0.9503355705,0.0109710684,0.9512416107,0.01119861177,0.9519463087,0.01125076854,0.9545637584,0.01111310738,0.9620469799,0.01054459682,0.9631208054,0.01056094952,0.9634899329,0.01055365746
